"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.532161493E1,-6.979265213E0,-1.237089276E0,-2.608176708E0
4.533161493E1,-6.958328247E0,-1.185045362E0,-3.075973511E0
4.534161493E1,-7.086344242E0,-1.024726272E0,-3.467200041E0
4.535161493E1,-7.253243446E0,-6.969096065E-1,-3.769293785E0
4.536161493E1,-7.534998417E0,-3.750749528E-1,-3.956532240E0
4.537161493E1,-7.843672752E0,-9.092725813E-2,-4.023531437E0
4.538161493E1,-8.219346046E0,2.213360965E-1,-3.946960926E0
4.539161493E1,-8.866005898E0,4.402793646E-1,-3.830310822E0
4.540161493E1,-9.921240807E0,3.876372576E-1,-3.728615999E0
4.541161493E1,-1.109910774E1,1.226321608E-1,-3.700500250E0
4.542161493E1,-1.184447193E1,7.298108935E-2,-3.647858143E0
4.543161493E1,-1.242712402E1,9.571290761E-2,-3.616153240E0
4.544161493E1,-1.262094307E1,-1.645065546E-1,-3.593421459E0
4.545161493E1,-1.226740360E1,-6.825526357E-1,-3.734597921E0
4.546161493E1,-1.130249786E1,-1.349551916E0,-4.155136585E0
4.547161493E1,-1.076830006E1,-1.435693622E0,-4.448855400E0
4.548161493E1,-1.141256714E1,-6.245267391E-1,-4.637290478E0
4.549161493E1,-1.267896938E1,-1.914258152E-1,-4.618745804E0
4.550161493E1,-1.443889046E1,-1.872383654E-1,-3.926023722E0
4.551161493E1,-1.570947933E1,-3.194418252E-1,-2.310270309E0
4.552161493E1,-1.589791393E1,-2.404786795E-1,-7.070791125E-1
4.553161493E1,-1.480618858E1,-1.094716340E-1,1.550549030E0
4.554161493E1,-1.324606800E1,-2.183450609E-1,3.516252756E0
4.555161493E1,-1.197906876E1,-2.566302419E-1,4.381856441E0
4.556161493E1,-1.153699398E1,-5.252245665E-1,4.362115860E0
4.557161493E1,-1.096092224E1,2.195414752E-1,3.485146284E0
4.558161493E1,-1.066899776E1,2.991028428E-1,1.856830359E0
4.559161493E1,-1.072702408E1,-7.351947427E-1,-9.511470050E-2
4.560161493E1,-1.075992489E1,-1.251446247E0,-1.712662816E0
4.561161493E1,-1.091067314E1,-2.054836512E0,-2.706880569E0
4.562161493E1,-1.042193890E1,-2.782852650E0,-2.933002472E0
4.563161493E1,-9.760921478E0,-2.781058073E0,-2.703291416E0
4.564161493E1,-8.983852386E0,-2.303091764E0,-2.254039049E0
4.565161493E1,-8.264211655E0,-1.783251047E0,-1.747358680E0
4.566161493E1,-8.017750740E0,-1.329213023E0,-1.241874933E0
4.567161493E1,-8.196015358E0,-9.619147182E-1,-9.146564603E-1
4.568161493E1,-8.602795601E0,-8.171489239E-1,-7.369893789E-1
4.569161493E1,-8.761320114E0,-7.178468108E-1,-6.699903607E-1
4.570161493E1,-8.889934540E0,-6.759724021E-1,-5.647061467E-1
4.571161493E1,-8.760722160E0,-6.358926296E-1,-4.127618968E-1
4.572161493E1,-8.532207489E0,-4.803591371E-1,-3.631108403E-1
4.573161493E1,-8.296514511E0,-3.014956415E-1,-6.329016089E-1
4.574161493E1,-7.996813297E0,-2.757728100E-1,-8.733802438E-1
4.575161493E1,-7.702496052E0,-1.872383654E-1,-1.085743308E0
